Temp	date	dt	vW	dW	method	ef	aer	wd	lg_aer	lg_ef	season1	season2	season3	h	t	season4
-2.66666667	10FEB2017	10FEB2017:04:00:00	1.23997454	109.166096	4	0.548737497	602.37188692	E	6.4008750069	-0.600135099	W	W	W	4	2428	3
-2.66666667	14FEB2017	14FEB2017:07:00:00	1.02925409	129.722285	1	1.15865962	1342.5702615	E	7.2023411614	0.147263837	W	W	W	7	2527	3
-2.66666667	14FEB2017	14FEB2017:07:00:00	1.02925409	129.722285	4	0.809352693	1071.793	E	6.977088226	-0.211520495	W	W	W	7	2527	3
-2.58333333	09FEB2017	09FEB2017:19:00:00	0.949000731	103.785864	1	1.15569258	554.12369923	E	6.3173879456	0.1446998006	W	W	W	19	2419	3
-2.58333333	09FEB2017	09FEB2017:19:00:00	0.949000731	103.785864	4	0.998443872	677.22377	E	6.5180017501	-0.00155734	W	W	W	19	2419	3
-2.58333333	10FEB2017	10FEB2017:11:00:00	1.30810743	113.900435	1	0.62927397	2916.6271692	E	7.9781831486	-0.463188553	W	W	W	11	2435	3
-2.58333333	10FEB2017	10FEB2017:11:00:00	1.30810743	113.900435	4	0.595903389	2161.5319923	E	7.678572505	-0.517676724	W	W	W	11	2435	3
-2.5	06JAN2017	06JAN2017:19:00:00	0.601318263	164.426542	1	0.90090418	596.51546462	S	6.3911051668	-0.104356376	W	W	W	19	1603	3
-2.5	06JAN2017	06JAN2017:19:00:00	0.601318263	164.426542	4	1.01319595	563.52843462	S	6.3342177929	0.0131096419	W	W	W	19	1603	3
-2.5	07JAN2017	07JAN2017:06:00:00	3.77542125	173.186276	1	1.29184871	1632.9819	S	7.398163009	0.256074301	W	W	W	6	1614	3
-2.5	07JAN2017	07JAN2017:06:00:00	3.77542125	173.186276	4	0.845082172	1215.5829385	S	7.1029790255	-0.168321411	W	W	W	6	1614	3
-2.5	29JAN2017	29JAN2017:02:00:00	1.7224695	156.866907	1	0.75766129	2107.0143615	S	7.6530272299	-0.27751884	W	W	W	2	2138	3
-2.5	29JAN2017	29JAN2017:02:00:00	1.7224695	156.866907	4	0.357183181	2709.0184615	S	7.904341657	-1.029506517	W	W	W	2	2138	3
-2.5	13FEB2017	13FEB2017:06:00:00	0.491293341	93.5303751	1	1.09419318	608.57820231	E	6.4111254207	0.0900172698	W	W	W	6	2502	3
-2.5	13FEB2017	13FEB2017:06:00:00	0.491293341	93.5303751	4	0.829476639	562.61680077	E	6.3325987583	-0.186960332	W	W	W	6	2502	3
-2.5	13FEB2017	13FEB2017:21:00:00	0.637960964	103.516328	1	1.04623754	484.92150462	E	6.1839870317	0.0452004336	W	W	W	21	2517	3
-2.5	13FEB2017	13FEB2017:21:00:00	0.637960964	103.516328	4	0.903818102	589.09415615	E	6.3785860285	-0.101127153	W	W	W	21	2517	3
-2.41666667	06JAN2017	06JAN2017:00:00:00	0.801343368	328.539148	1	1.27454833	611.11185462	W	6.4152800105	0.2425918649	W	W	W	0	1584	3
-2.41666667	06JAN2017	06JAN2017:00:00:00	0.801343368	328.539148	4	0.988432438	515.39554	W	6.2449346447	-0.011634987	W	W	W	0	1584	3
-2.41666667	07JAN2017	07JAN2017:08:00:00	4.18041878	174.703646	1	1.11189052	1030.7021154	S	6.9379955144	0.1060617377	W	W	W	8	1616	3
-2.41666667	07JAN2017	07JAN2017:08:00:00	4.18041878	174.703646	4	0.97467142	1355.2537923	S	7.2117440164	-0.02565487	W	W	W	8	1616	3
-2.41666667	02FEB2017	02FEB2017:07:00:00	4.30203131	137.382636	1	0.93017564	1293.3836385	E	7.1650170389	-0.07238185	W	W	W	7	2239	3
-2.41666667	02FEB2017	02FEB2017:07:00:00	4.30203131	137.382636	4	0.56185106	1953.0961	E	7.577171136	-0.576518482	W	W	W	7	2239	3
-2.41666667	02FEB2017	02FEB2017:08:00:00	4.02416408	134.80334	1	0.914751	1589.9201231	E	7.3714390569	-0.089103382	W	W	W	8	2240	3
